domain,partOf,source
keepdonaldtrump.com,blacklist,wikipedia
whatsnew2day.com,blacklist,wikipedia
punkshare.com,blacklist,wikipedia
totalpolitical.com,blacklist,wikipedia
countyweekly.com,blacklist,wikipedia
bnn.network,blacklist,wikipedia
alaskacommons.com,blacklist,wikipedia
viralmugshot.com,blacklist,wikipedia
focustimes.org,blacklist,wikipedia
vancouverinquirer.com,blacklist,wikipedia
surreytelegraph.com,blacklist,wikipedia
viralstupid.com,blacklist,wikipedia
cloudpolitical.com,blacklist,wikipedia
wbn12.com,blacklist,wikipedia
realstonedtimes.com,blacklist,wikipedia
channel62news.com,blacklist,wikipedia
viralpropaganda.com,blacklist,wikipedia
foxnews15.com,blacklist,wikipedia
weatheraction.com,blacklist,wikipedia
24aktuelles.com,blacklist,wikipedia
eastasiatribune.com,blacklist,wikipedia
breakingnews365.net,blacklist,wikipedia
nbcnews6.com,blacklist,wikipedia
telegraphsun.com,blacklist,wikipedia
channel55news.com,blacklist,wikipedia
smhwtfnews.com,blacklist,wikipedia
barenakedislam.com,blacklist,wikipedia
jetpolitics.com,blacklist,wikipedia
americasfreedomfighters.com,blacklist,wikipedia
aosfatos.com,blacklist,wikipedia
km8news.com,blacklist,wikipedia
mckenziepost.com,blacklist,wikipedia
channel66news.com,blacklist,wikipedia
channel23news.com,blacklist,wikipedia
jokerviral.com,blacklist,wikipedia
walli.us,blacklist,wikipedia
news4ktla.com,blacklist,wikipedia
denverinquirer.com,blacklist,wikipedia
laquestionclimatique.org,blacklist,wikipedia
cgcnews.com,blacklist,wikipedia
nationalgeographic.com.co,blacklist,wikipedia
thebreakingnews.co,blacklist,wikipedia
dublintribune.com,blacklist,wikipedia
bnnbreaking.com,blacklist,wikipedia
straightstoned.com,blacklist,wikipedia
politicsbee.com,blacklist,wikipedia
nbcnews15.com,blacklist,wikipedia
cbsnews10.com,blacklist,wikipedia
newsdaily12.com,blacklist,wikipedia
cbsnews.com.co,blacklist,wikipedia
thefrt.com,blacklist,wikipedia
react365.com,blacklist,wikipedia
borderherald.com,blacklist,wikipedia
washingtonpost.com.co,blacklist,wikipedia
channel24news.com,blacklist,wikipedia
skyfall.fr,blacklist,wikipedia
channel18news.com,blacklist,wikipedia
newsexaminer.net,blacklist,wikipedia
irelandtopnews.com,blacklist,wikipedia
channel40news.com,blacklist,wikipedia
cartelreport.com,blacklist,wikipedia
superofficialnews.com,blacklist,wikipedia
channel56news.com,blacklist,wikipedia
democraticreview.com,blacklist,wikipedia
cbs15.com,blacklist,wikipedia
viralcocaine.com,blacklist,wikipedia
koklimaat.nl,blacklist,wikipedia
judithcurry.com,blacklist,wikipedia
alnewsnetwork.press,blacklist,wikipedia
neonnettle.com,blacklist,wikipedia
politicsfast.com,blacklist,wikipedia
badcriminals.com,blacklist,wikipedia
thenyherald.com,blacklist,wikipedia
alynews.com,blacklist,wikipedia
makeredhatswearableagain.com,blacklist,wikipedia
feednewz.com,blacklist,wikipedia
thephoenixnewtimes.com,blacklist,wikipedia
globalvillagespace.com,blacklist,wikipedia
klimatsans.com,blacklist,wikipedia
headlinebrief.com,blacklist,wikipedia
globalwarmingscare.wordpress.com,blacklist,wikipedia
co2coalition.org,blacklist,wikipedia
clintel.org,blacklist,wikipedia
naturalnews.com,blacklist,wikipedia
agfdag.wordpress.com,blacklist,wikipedia
tnewsnetwork.com,blacklist,wikipedia
torontotoday.net,blacklist,wikipedia
actionnews3.com,blacklist,wikipedia
local31news.com,blacklist,wikipedia
nbc.com.co,blacklist,wikipedia
abcnews5.com,blacklist,wikipedia
dallastimes.us,blacklist,wikipedia
topnews67.com,blacklist,wikipedia
foodingworld.com,blacklist,wikipedia
sundayinquirer.com,blacklist,wikipedia
liberalsociety.com,blacklist,wikipedia
climatedepot.com,blacklist,wikipedia
cairnstimes.com,blacklist,wikipedia
newsyoucantuse.com,blacklist,wikipedia
foxbusiness.xyz,blacklist,wikipedia
newstarget.com,blacklist,wikipedia
politicsfocus.com,blacklist,wikipedia
tmzworldstarnews.com,blacklist,wikipedia
ohiopress.pro,blacklist,wikipedia
politicsedge.com,blacklist,wikipedia
knp7.com,blacklist,wikipedia
indianewsnetwork.com,blacklist,wikipedia
wleb21.com,blacklist,wikipedia
weekendherald.com,blacklist,wikipedia
lunumi.com,blacklist,wikipedia
brighteon.com,blacklist,wikipedia
16wmpo.com,blacklist,wikipedia
kmt11.com,blacklist,wikipedia
americatalks.com,blacklist,wikipedia
nbcnews.com.co,blacklist,wikipedia
wnd.com,blacklist,wikipedia
dailystormer.com,blacklist,wikipedia
pressunion.org,blacklist,wikipedia
alexjones.xyz,blacklist,wikipedia
bestbudgetusa.com,blacklist,wikipedia
nationalnewsbulletin.com,blacklist,wikipedia
cbsnews15.com,blacklist,wikipedia
nipsysnews.com,blacklist,wikipedia
wavefunction.info,blacklist,wikipedia
carepublican.com,blacklist,wikipedia
bostonleader.com,blacklist,wikipedia
alabamaobserver.com,blacklist,wikipedia
tmzhiphop.com,blacklist,wikipedia
goldpolitics.com,blacklist,wikipedia
tmzcomedy.com,blacklist,wikipedia
klimaatfeiten.nl,blacklist,wikipedia
qualitysharing.com,blacklist,wikipedia
dubokavoda.com,blacklist,wikipedia
channel33news.com,blacklist,wikipedia
faktiskt.eu,blacklist,wikipedia
tmzuncut.com,blacklist,wikipedia
fakeawish.com,blacklist,wikipedia
dailyviralbuzz.com,blacklist,wikipedia
environmentalprogress.org,blacklist,wikipedia
ky6news.com,blacklist,wikipedia
theleadingreport.com,blacklist,wikipedia
breakingnews247.net,blacklist,wikipedia
gellerreport.com,blacklist,wikipedia
everydaybreakingnews.com,blacklist,wikipedia
rightwingtribune.com,blacklist,wikipedia
shayeaat.ir,blacklist,wikipedia
topstories.com.ng,blacklist,wikipedia
prisonplanet.com,blacklist,wikipedia
roadan.com,blacklist,wikipedia
dailysceptic.org,blacklist,wikipedia
indiavsdisinformation.com,blacklist,wikipedia
theasociatedpress.com,blacklist,wikipedia
newsdaily27.com,blacklist,wikipedia
waronfakes.com,blacklist,wikipedia
tmzworldstar.com,blacklist,wikipedia
yournewswire.com,blacklist,wikipedia
notrickszone.com,blacklist,wikipedia
cnoticias.net,blacklist,wikipedia
infowars.com,blacklist,wikipedia
plantaobrasil.net,blacklist,wikipedia
newsatlast.com,blacklist,wikipedia
theracketreport.com,blacklist,wikipedia
ecr.network,blacklist,wikipedia
banned.video,blacklist,wikipedia
christianfreedommovement.com,blacklist,wikipedia
dailynews5.com,blacklist,wikipedia
longarticles.com,blacklist,wikipedia
unitedmediapublishing.com,blacklist,wikipedia
foreignjournal.com,blacklist,wikipedia
channel22news.com,blacklist,wikipedia
channel60news.com,blacklist,wikipedia
abcnews.com.co,blacklist,wikipedia
usatoday.com,whitelist,scimago
nytimes.com,whitelist,scimago
